code,description,approach
61002001,Dep Exp - Land Improvements (ROU),main
61003000,Dep Exp - Buildings Structures and Improv,main
61003001,Dep Exp - Transmission Lines and Substation,main
61003002,Dep Exp - Leasehold Improvement,main
61004000,Dep Exp - Machinery & Equipment,oh
61004001,Dep Exp - Engine Generator Sets,main
61004002,Dep Exp - Transportation Equipment,oh
61004003,Dep Exp - Office Equipment,main
61004004,Dep Exp - Furniture and Fixtures,main
61004005,Dep Exp - Computer Hardware and Eqpmt,main
61005000,Dep Exp - Low Value Assets,main
61006000,Amortization Expense - Computer Software,main
61006100,Dep Exp - Investment Properties,main
61009000,Depreciation and Amortization - Other Adjustment,main
61009100,BLOCKED Depreciation and Amortization - Other Adjustment,main
61100000,Contract Fee - Agency Services,main
61101000,Contract Fee - Mining,main
61101001,Contract Fee - Cover/Uncover,main
61101002,Contract Fee - Stevedoring,main
61101003,Contract Fee - LCT,main
61101004,Contract Fee - Wharfage,main
61101005,Contract Fee - Maintenance,main
61101006,Contract Fee - Others,main
61101100,Contract Fee - Agency Services - PM Adjustment,main
61101110,Contract Fee - Agency Services - PS Adjustment,main
61101120,Outside Services - Other Adjustment,oh
61102000,Draft Survey Fee,main
61102001,PPA Usage Fee,main
61102002,Umpiring Fees,main
61102003,Brokerage Fees,main
61102004,Security Services,main
61102005,SCAA Allowances,main
61102006,Software Support & Maintenance,main
61102007,Other Services - Metering Charges,main
61102008,Other Services - General,main
61102009,Other Services - Shipment,main
61102100,BLOCKED Outside Services - Other Adjustment,main
61200000,Professional Fees,main
61200001,Consultancy Fees,main
61200002,Per Diem and Honorarium Fees,main
61200003,Management fee,main
61200100,Professional and  Consultancy Fees - Other Adj,main
61200200,BLOCKED Professional and  Consultancy Fees - Other Adj,main
61300000,Fuel - Gasoline,oh
61300001,Fuel - Diesel Oil,oh
61300002,Fuel - Bunker Oil,oh
61300003,Fuel - Contractors,main
61300004,Oil and Lubricants,oh
61300005,Tires,oh
61300006,Tires Accessories,oh
61300007,Conveyor Supplies,main
61300008,Spare Parts,oh
61300009,Construction Hardware and Electrical Supplies,oh
61300010,Lumber,main
61300011,Steel Balls/Rods,main
61300012,Household Supplies,main
61300013,Laboratory Supplies,main
61300014,Chemicals,main
61300015,Medicines and Medical Supplies,main
61300016,Safety Equipment and Supplies,mh
61300017,Stationeries and Office Supplies,main
61300018,Other General Materials and Supplies,main
61300019,Computer Supplies and Other Electronics,main
61300020,Tools Instruments and Machine,main
61300021,Food and Food Supplies,mh
61300100,Spare Parts - PM Adjustment,oh
61300110,Tires - PM Adjustment,oh
61300120,Oil & Lubricants - PM Adjustment,oh
61300130,Others - PM Adjustment,oh
61300200,Spare Parts - PS Adjustment,oh
61300210,Tires - PS Adjustment,oh
61300220,Oil & Lubricants - PS Adjustment,oh
61300230,Others - PS Adjustment,oh
61300300,Materials and Supplies - Other Adjustment,oh
61300400,BLOCKED Materials and Supplies - Other Adjustment,oh
61400000,Taxes and Licenses,main
61400001,FBT Expense,main
61400100,Taxes and Licenses - Other Adjustment,main
61400200,BLOCKED Taxes and Licenses - Other Adjustment,main
61500000,Transportation and Travel Expenses,main
61500100,Transportation and Travel - Other Adjustment,main
61500200,BLOCKED Transportation and Travel - Other Adjustment,main
61600000,Representation Entertainment and Recreation,main
61600100,Representation - Other Adjustment,main
61600200,BLOCKED Representation - Other Adjustment,main
61700000,Donations,main
61700100,Donations - Other Adjustment,main
61700200,BLOCKED Donations - Other Adjustment,main
61800000,Advertising Publicity and Promotion,main
61800001,Livelihood and Community Assistance,main
61800100,Publicity and Promotion - Other Adjustment,main
61800200,BLOCKED Publicity and Promotion - Other Adjustment,main
61900000,Medical Assistance - Others,mh
61900001,Legal Documentation,main
61900002,Government and Regulator Fees,main
61900003,Other Miscellaneous Expense,main
61900004,Bank Charges,main
61900100,Expense Clearing Account,main
61900200,Other Operating  Expenses - Other Adjustment,main
61900300,BLOCKED Other Operating  Expenses - Other Adjustment,main
70000000,Interest Income - Cash and Cash Equivalents,main
70000001,Interest Income - Short-term Investment,main
70000002,Interest Income - FVOCI,main
70000003,Interest Income - Amortized Cost,main
70000004,Interest Income - FVTPL,main
70000005,Interest Income - Loans,main
70000006,Interest Income - MRF/FMRDP,main
70000007,Interest Income - SDMP,main
70000008,Interest Income - Pension,main
70000009,Interest Income - Others,main
70000010,Interest Income - Subsidiaries,main
70001000,Guarantee fee income,main
71000000,Interest Expense - LT Debts,main
71000001,Interest Expense - ST Debts,main
71000002,Interest Expense - Subsidiaries,main
71000003,Interest Expense - Pension,main
71000004,Accretion of Interest - ARO,main
71000005,Accretion of Interest - Lease,main
71001000,Guarantee Service Fee,main
72000000,Dividend Income - Affiliates,main
72000001,Dividend Income - Others,main
72001000,Realized Loss from Exchange Rate Differences,main
72001001,Realized Gain from Exchange Rate Differences,main
72002000,Unrealized Forex Loss (Gain) - Cash & Cash Equiv,main
72002001,Unrealized Forex Loss (Gain) - Receivables,main
72002002,Unrealized Forex Loss (Gain) - Payables,main
72002003,Unrealized Forex Loss (Gain) - ST/LT Debts,main
72002004,Unrealized Forex Loss (Gain) - FVOCI,main
72002005,Unrealized Forex Loss (Gain) - FVTPL,main
72002006,Unrealized Forex Loss (Gain) - STI > 90 Days,main
72003000,Loss on Changes in FV of FA at FVTPL,main
72003001,Gain on Changes in FV of FA at FVTPL,main
72004000,Loss on Sale/Redemption of Financial Asset,main
72004001,Gain on Sale/Redemption of Financial Asset,main
72004002,Loss from Asset Transactions,main
72004003,Gain from Asset Transactions,main
72004004,Clearing Account Asset Disposals,main
72004005,Gain from Asset Sale Clearing,main
72005000,Provision for Expected Credit Losses,main
72005001,Prov for Impairment Losses - Ore and Limestone,main
72005002,Prov for Impairment Losses - Mats and Supplies,main
72005003,Prov for Impairment Losses - Others,main
72005004,Loss (Gain) on Scrapping - Materials and Supplies,main
72005005,Loss (Gain) from Valuation of FG Inventory,main
72005006,Loss (Gain) from Valuation of  MS Inventory,main
72005007,Loss (Gain) Invty Count Variance - FG,main
72005008,Loss (Gain) Invty Count Variance - MS,main
72006000,Reversal of Allowance for Impairment Losses,main
72007000,Loss on Write-off,main
72008000,Despatch,main
72008001,Demurrage,main
72008002,Trust Fee - Managed Funds,main
72008003,Rent Income,main
72008004,FOL Issuance,main
72008005,Cash Discount - Vendor,main
72008006,Loss (Gain) Price Differences Invoice Receipt (MM),main
72008007,Other Charges,main
72008100,Other Miscellaneous Income,main
73000000,Provision for Current Income Tax,main
73000001,Provision for Deferred Income Tax,main
80000000,Fixed Asset Migration Account,main
80000001,Accumulated Depreciation Migration Account,main
80010000,AR Open Items Migration Account,main
80020000,AP Open Items Migration Account,main
80030000,Inventory - Beg Bal MS - Gasoline Balances,main
80030001,Inventory - Beg Bal MS - Diesel Balances,main
80030002,Inventory - Beg Bal MS - Bunker Oil Balances,main
